four-way-life: observer [@address, "127.0.0.1", 41797]
FOUR-WAY-LIFE seed=42 size=60x40
GEN 0 282565067
GEN 1 344076358
GEN 2 404633637
GEN 3 347848390
GEN 4 193642808
GEN 5 559235209
GEN 6 76768486
GEN 7 595549348
GEN 8 726420698
GEN 9 726887202
GEN 10 308183745
GEN 11 56683884
GEN 12 160823838
GEN 13 164112964
GEN 14 982150617
GEN 15 807458562
GEN 16 949318225
GEN 17 760577513
GEN 18 833936833
GEN 19 58557134
GEN 20 839255141
GEN 21 100480021
GEN 22 867617763
GEN 23 848087789
GEN 24 283772216
GEN 25 628763500
GEN 26 208569266
GEN 27 641541278
GEN 28 604950144
GEN 29 499764146
GEN 30 543519336
GEN 31 443427449
GEN 32 95336930
GEN 33 635906087
GEN 34 926822223
GEN 35 337975562
GEN 36 959150956
GEN 37 681991269
GEN 38 173373611
GEN 39 97601020
GEN 40 68341237
GEN 41 516482075
GEN 42 105602515
GEN 43 759085640
GEN 44 774353833
GEN 45 830174676
GEN 46 688888405
GEN 47 900918336
GEN 48 968717048
GEN 49 102682601
GEN 50 601963932
GEN 51 267124617
GEN 52 593476466
GEN 53 973017152
GEN 54 425470135
GEN 55 112904211
GEN 56 830262056
GEN 57 476496168
GEN 58 694000204
GEN 59 553978046
GEN 60 635806074
GEN 61 22616508
GEN 62 42728838
GEN 63 405471984
GEN 64 962661249
GEN 65 909247209
GEN 66 825396235
GEN 67 55342336
GEN 68 558494005
GEN 69 918933463
GEN 70 661770904
GEN 71 549180835
GEN 72 272485630
GEN 73 385975027
GEN 74 24284224
GEN 75 711342935
GEN 76 523892103
GEN 77 717983517
GEN 78 669114779
GEN 79 740249089
GEN 80 326815155
GEN 81 233835307
GEN 82 992001868
GEN 83 116546124
GEN 84 311673510
GEN 85 594080550
GEN 86 968497026
GEN 87 902364062
GEN 88 430780409
GEN 89 982395307
GEN 90 458924386
GEN 91 779934839
GEN 92 472080380
GEN 93 829801953
GEN 94 254263653
GEN 95 479439621
GEN 96 284128402
GEN 97 642312939
GEN 98 993345119
GEN 99 161059433
GEN 100 160374443
GEN 101 297418122
GEN 102 943613396
GEN 103 686672728
GEN 104 693108544
GEN 105 378844762
GEN 106 148227963
GEN 107 313071207
GEN 108 683842993
GEN 109 376215795
GEN 110 900706677
GEN 111 876166216
GEN 112 292525929
GEN 113 970279594
GEN 114 164062452
GEN 115 908785529
GEN 116 21786027
GEN 117 671337341
GEN 118 304876631
GEN 119 103855702
GEN 120 114415575
GEN 121 164566187
GEN 122 335849398
GEN 123 643692068
GEN 124 241213732
GEN 125 473161644
GEN 126 715679235
GEN 127 342180758
GEN 128 569739305
GEN 129 390156102
GEN 130 3599613
GEN 131 673223264
GEN 132 637320317
GEN 133 788146551
GEN 134 431497895
GEN 135 541335116
GEN 136 428961934
GEN 137 486125534
GEN 138 156826802
GEN 139 869845208
GEN 140 560570666
GEN 141 926528325
GEN 142 520979332
GEN 143 555493823
GEN 144 572293274
GEN 145 288230559
GEN 146 961340300
GEN 147 148602444
GEN 148 492313192
GEN 149 163017818
GEN 150 437657766
GEN 151 646403266
GEN 152 7009730
GEN 153 669044263
GEN 154 534043153
GEN 155 141676319
GEN 156 486032234
GEN 157 231504868
GEN 158 405344064
GEN 159 640307293
GEN 160 439910449
GEN 161 941484085
GEN 162 608179990
GEN 163 136865327
GEN 164 898928717
GEN 165 31140491
GEN 166 242156264
GEN 167 17745635
GEN 168 151475307
GEN 169 979637145
GEN 170 931897479
GEN 171 696349276
GEN 172 36058939
GEN 173 535029354
GEN 174 247369269
GEN 175 461564841
GEN 176 958246882
GEN 177 180501667
GEN 178 883316101
GEN 179 775210051
GEN 180 456057482
GEN 181 361162221
GEN 182 63096301
GEN 183 63096301
GEN 184 63096301
GEN 185 63096301
GEN 186 63096301
GEN 187 63096301
GEN 188 63096301
GEN 189 63096301
GEN 190 63096301
GEN 191 63096301
GEN 192 63096301
GEN 193 63096301
GEN 194 63096301
GEN 195 63096301
GEN 196 63096301
GEN 197 63096301
GEN 198 63096301
GEN 199 63096301
GEN 200 63096301
GEN 201 63096301
GEN 202 63096301
GEN 203 63096301
GEN 204 63096301
GEN 205 63096301
GEN 206 63096301
GEN 207 63096301
GEN 208 63096301
GEN 209 63096301
GEN 210 63096301
GEN 211 63096301
GEN 212 63096301
GEN 213 63096301
GEN 214 63096301
GEN 215 63096301
GEN 216 63096301
GEN 217 63096301
GEN 218 63096301
GEN 219 63096301
GEN 220 63096301
GEN 221 63096301
GEN 222 63096301
CLOSED
