four-way-life: observer [@address, "127.0.0.1", 33517]
FOUR-WAY-LIFE seed=42 size=60x40
GEN 0 115679728
GEN 1 371910986
GEN 2 266334583
GEN 3 799038808
GEN 4 471952130
GEN 5 590879308
GEN 6 640394439
GEN 7 640211588
GEN 8 617932571
GEN 9 761043688
GEN 10 682311342
GEN 11 909568637
GEN 12 946380616
GEN 13 867667061
GEN 14 149485120
GEN 15 465131401
GEN 16 116702309
GEN 17 427372582
GEN 18 184699698
GEN 19 680138632
GEN 20 953608271
GEN 21 242413866
GEN 22 445772224
GEN 23 431248904
GEN 24 661806178
GEN 25 362878901
GEN 26 334464640
GEN 27 780148331
GEN 28 378637164
GEN 29 495530045
GEN 30 568289917
GEN 31 70458459
GEN 32 557001006
GEN 33 551996330
GEN 34 576804847
GEN 35 951874093
GEN 36 181403275
GEN 37 289333980
GEN 38 784164048
GEN 39 770617449
GEN 40 133711795
GEN 41 932239191
GEN 42 745892184
GEN 43 213159754
GEN 44 211192858
GEN 45 950785354
GEN 46 618967916
GEN 47 778464310
GEN 48 221475707
GEN 49 634400880
GEN 50 461889289
GEN 51 436017870
GEN 52 420822474
GEN 53 906917185
GEN 54 600653105
GEN 55 664126941
GEN 56 67676601
GEN 57 588943655
GEN 58 803372341
GEN 59 671519419
GEN 60 346950517
GEN 61 981151879
GEN 62 739693201
GEN 63 287106237
GEN 64 693667167
GEN 65 304660531
GEN 66 344585011
GEN 67 187527000
GEN 68 31540123
GEN 69 44535396
GEN 70 271069702
GEN 71 777938809
GEN 72 132982891
GEN 73 986467365
GEN 74 511239931
GEN 75 306137925
GEN 76 840139975
GEN 77 66218160
GEN 78 236664854
GEN 79 889719233
GEN 80 829970178
GEN 81 962754561
GEN 82 211634090
GEN 83 292521751
GEN 84 483634490
GEN 85 59492089
GEN 86 948420240
GEN 87 810869485
GEN 88 838531550
GEN 89 293560034
GEN 90 830846581
GEN 91 713740145
GEN 92 407698101
GEN 93 665358492
GEN 94 416743972
GEN 95 802421305
GEN 96 168147069
GEN 97 658432176
GEN 98 537160170
GEN 99 872133442
GEN 100 693983085
GEN 101 589443390
GEN 102 800400822
GEN 103 461894343
GEN 104 548811184
GEN 105 220517936
GEN 106 874722656
GEN 107 513253066
GEN 108 721576364
GEN 109 851003890
GEN 110 121054407
GEN 111 319853349
GEN 112 383617005
GEN 113 36659578
GEN 114 245673388
GEN 115 982551710
GEN 116 651838121
GEN 117 792033557
GEN 118 762199953
GEN 119 793431377
GEN 120 984266264
GEN 121 673253240
GEN 122 941857612
GEN 123 382331127
GEN 124 337780642
GEN 125 198520539
GEN 126 511747260
GEN 127 437770571
GEN 128 482262484
GEN 129 542310690
GEN 130 466477915
GEN 131 398360479
GEN 132 230891620
CLOSED
