four-way-life: observer [@address, "127.0.0.1", 46567]
FOUR-WAY-LIFE seed=42 size=60x40
GEN 0 58056740
GEN 1 246356098
GEN 2 900815250
GEN 3 741936154
GEN 4 706005086
GEN 5 365350840
GEN 6 281866971
GEN 7 130935506
GEN 8 234623278
GEN 9 457307380
GEN 10 969199592
GEN 11 930057811
GEN 12 541099882
GEN 13 784968427
GEN 14 696616070
GEN 15 778487859
GEN 16 698759142
GEN 17 659423698
GEN 18 890578728
GEN 19 907455244
GEN 20 896590316
GEN 21 31968629
GEN 22 324211090
GEN 23 817787986
GEN 24 144060235
GEN 25 298573302
CLOSED
