four-way-life: observer [@address, "127.0.0.1", 41437]
FOUR-WAY-LIFE seed=42 size=60x40
GEN 0 58056740
GEN 1 246356098
GEN 2 900815250
GEN 3 741936154
GEN 4 706005086
GEN 5 365350840
GEN 6 281866971
GEN 7 130935506
GEN 8 234623278
GEN 9 457307380
GEN 10 969199592
GEN 11 930057811
GEN 12 541099882
GEN 13 784968427
GEN 14 696616070
GEN 15 778487859
GEN 16 698759142
GEN 17 659423698
GEN 18 890578728
GEN 19 907455244
GEN 20 896590316
GEN 21 31968629
GEN 22 324211090
GEN 23 817787986
GEN 24 144060235
GEN 25 298573302
GEN 26 213838861
GEN 27 284591772
GEN 28 663804248
GEN 29 516564841
GEN 30 636887260
GEN 31 531922066
GEN 32 644663689
GEN 33 374370
GEN 34 52734927
GEN 35 733517718
GEN 36 879938844
GEN 37 787084194
GEN 38 379178656
GEN 39 274886591
GEN 40 289684082
GEN 41 621481845
GEN 42 170767925
GEN 43 668673279
GEN 44 810586431
GEN 45 429177201
GEN 46 487144068
GEN 47 698308404
GEN 48 160257714
GEN 49 26092923
GEN 50 769508104
GEN 51 133849991
GEN 52 440564820
GEN 53 756564420
CLOSED
